,ensembl_gene_id,external_gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
440,ENSMUSG00000002496,Tsc2,529.5417909,-0.009016701,0.108505094,-0.083099333,0.933772556,1
442,ENSMUSG00000002504,Slc9a3r2,15.8550264,-0.051010408,0.491067583,-0.103876552,0.917267315,1
443,ENSMUSG00000002524,Puf60,499.451141,-0.096031029,0.125445172,-0.76552192,0.443960819,1
444,ENSMUSG00000002546,Golga2,1044.135854,-0.007476231,0.169788881,-0.044032515,0.964878486,1
445,ENSMUSG00000002550,Uck1,110.2822155,-0.263209631,0.231705939,-1.135964109,0.255971586,1
447,ENSMUSG00000002578,Ikzf4,7.404799391,-7.122094664,4.42583497,-1.609209271,0.10757059,1
448,ENSMUSG00000002580,Mien1,25.34723214,0.036672394,0.354980381,0.103308228,0.917718346,1
450,ENSMUSG00000002602,Axl,202.1207115,0.367156783,0.543502017,0.675538952,0.499333413,1
451,ENSMUSG00000002603,Tgfb1,1293.709378,-0.018523863,0.099456264,-0.186251342,0.852247663,1
452,ENSMUSG00000002608,Ccdc97,650.5662226,-0.133947396,0.176785104,-0.757684855,0.448639668,1
453,ENSMUSG00000002617,Zfp40,151.2521153,-0.070063301,0.252906153,-0.277032806,0.781754916,1
454,ENSMUSG00000002625,Akap8l,1462.126014,-0.012859827,0.108053795,-0.119013187,0.905264908,1
456,ENSMUSG00000002635,Pdcd2l,64.40294065,0.087078859,0.32640129,0.266784665,0.789634962,1
457,ENSMUSG00000002658,Gtf2f1,469.2405452,0.012204327,0.152486726,0.080035341,0.936209148,1
458,ENSMUSG00000002660,Clpp,58.0006457,-0.308236687,0.25615453,-1.203323194,0.228851277,1
459,ENSMUSG00000002661,Alkbh7,10.71976554,0.200913737,0.785472004,0.255787267,0.798115106,1
461,ENSMUSG00000002668,Dennd1c,465.6256057,0.049785345,0.120364228,0.413622435,0.67915064,1
462,ENSMUSG00000002679,Med6,52.56090451,0.238351862,0.385593639,0.618142618,0.536481331,1
463,ENSMUSG00000002688,Prkd1,67.78445019,-2.085725873,1.689841454,-1.234273114,0.217101151,1
464,ENSMUSG00000002699,Lcp2,2260.335848,0.737213672,0.461529876,1.597326001,0.110193058,1
465,ENSMUSG00000002718,Cse1l,365.0639194,-0.310946351,0.204624071,-1.519598106,0.128612014,1
466,ENSMUSG00000002728,Naa20,125.9457002,-7.18E-05,0.382224163,-0.000187886,0.999850089,1
467,ENSMUSG00000002731,Prkra,62.61749413,0.359241766,0.316492589,1.135071651,0.256345298,1
468,ENSMUSG00000002732,Fkbp7,32.28586121,-0.262809516,0.495025461,-0.530901008,0.595487379,1
469,ENSMUSG00000002733,Plekha3,108.4435015,-0.364417941,0.262647082,-1.3874814,0.165295019,1
470,ENSMUSG00000002741,Ykt6,488.6722938,0.127907873,0.146967414,0.870314514,0.384128549,1
