,ensembl_gene_id,external_gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
7744,ENSMUSG00000030259,Rassf8,169.5581155,-0.597006681,0.257058434,-2.322455143,0.020208441,0.859234413
8260,ENSMUSG00000031258,Xkrx,2.410379647,-4.726601503,2.029477063,-2.328975078,0.019860386,0.859234413
9143,ENSMUSG00000032783,Troap,8.156946406,3.287885295,1.416643197,2.320898657,0.020292314,0.859234413
9639,ENSMUSG00000034308,Sdr42e1,34.67118956,1.117517717,0.479534512,2.330421874,0.019783865,0.859234413
9806,ENSMUSG00000034765,Dusp5,15.00016712,1.6532381,0.715320549,2.311184969,0.02082264,0.859234413
10054,ENSMUSG00000035458,Tnni3,37.83088473,-1.413289856,0.602428874,-2.345986252,0.018976807,0.859234413
11014,ENSMUSG00000038170,Pde4dip,1087.22917,-0.258379982,0.110550687,-2.337208292,0.019428356,0.859234413
11182,ENSMUSG00000038538,Ubn2,1683.171505,-0.715454621,0.308736367,-2.317364256,0.020483898,0.859234413
11420,ENSMUSG00000039114,Nrn1,4.730476609,2.591250314,1.109049137,2.336461233,0.019467216,0.859234413
11629,ENSMUSG00000039672,Kcne2,26.42042416,1.525877596,0.653326949,2.335549755,0.01951472,0.859234413
11791,ENSMUSG00000040118,Cacna2d1,6.31766042,2.446124865,1.050864311,2.327726651,0.019926623,0.859234413
12809,ENSMUSG00000043153,Ispd,4.037641888,2.249257437,0.974656308,2.307744195,0.021013368,0.859234413
13145,ENSMUSG00000044367,Slc16a13,132.0249972,-1.04872725,0.452152957,-2.319408141,0.020372917,0.859234413
13576,ENSMUSG00000045896,Paip2b,88.0655272,-1.031455502,0.446144708,-2.311930374,0.020781521,0.859234413
13982,ENSMUSG00000047363,Cstad,16.27688423,-1.39100721,0.597589191,-2.327698075,0.019928141,0.859234413
14333,ENSMUSG00000048583,Igf2,135.6944064,1.368081135,0.586739987,2.331665073,0.019718318,0.859234413
14807,ENSMUSG00000050390,C77080,12.10477945,3.002947881,1.29829147,2.312999778,0.020722651,0.859234413
15449,ENSMUSG00000053046,Brsk2,9.056887386,-2.474884659,1.065024057,-2.323782868,0.020137134,0.859234413
16313,ENSMUSG00000056966,Gjc3,12.23632386,2.557772732,1.104348081,2.316092883,0.020553198,0.859234413
17555,ENSMUSG00000062510,Nsl1,51.84203077,2.05360975,0.874595535,2.348067955,0.018871078,0.859234413
