,ensembl_gene_id,external_gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
190,ENSMUSG00000001082,Mfsd10,171.1807637,1.234755956,0.951578694,1.297586805,0.194429359,1
191,ENSMUSG00000001089,Luzp1,454.3771493,0.13275007,0.27873394,0.476260874,0.633888536,1
193,ENSMUSG00000001098,Kctd10,108.1548791,0.454736502,0.291958432,1.557538509,0.119342685,1
194,ENSMUSG00000001100,Poldip2,200.0042844,-0.236059202,0.180646243,-1.306748471,0.191298151,1
196,ENSMUSG00000001105,Ift20,74.14362732,-0.031278869,0.271330753,-0.115279482,0.908223601,1
197,ENSMUSG00000001119,Col6a1,5.176812832,0.254106704,1.314903214,0.193251261,0.846762195,1
198,ENSMUSG00000001120,Pcbp3,20.68742191,-0.214114926,0.68164172,-0.314116521,0.753432542,1
199,ENSMUSG00000001123,Lgals9,795.3050823,0.090528084,0.19097641,0.47402757,0.635480247,1
200,ENSMUSG00000001127,Araf,343.9046259,-0.213887925,0.230167215,-0.929271902,0.352748193,1
201,ENSMUSG00000001128,Cfp,17.18429514,-0.848680701,0.869289732,-0.976292104,0.328919732,1
203,ENSMUSG00000001134,Uxt,11.73336476,1.401479278,0.72271837,1.939177604,0.052479716,1
204,ENSMUSG00000001138,Cnnm3,232.0908592,-0.080264537,0.400567465,-0.200377075,0.841185688,1
205,ENSMUSG00000001143,Lman2l,408.99068,0.04984457,0.223932037,0.222587937,0.823856226,1
206,ENSMUSG00000001150,Mcm3ap,491.502405,0.006420344,0.122533897,0.052396471,0.958212786,1
207,ENSMUSG00000001151,Pcnt,1173.646333,0.209403759,0.203712815,1.02793611,0.303979882,1
209,ENSMUSG00000001156,Mxd1,217.5288464,0.129377349,0.174197375,0.742705503,0.457659997,1
210,ENSMUSG00000001157,Gmcl1,81.58478389,-0.242548136,0.280125948,-0.865853869,0.386570303,1
211,ENSMUSG00000001158,Snrnp27,156.9714587,-0.32463378,0.208433724,-1.55749163,0.119353806,1
212,ENSMUSG00000001166,Oas1c,13.23656684,-1.949670935,0.996771215,-1.955986394,0.050466757,1
214,ENSMUSG00000001173,Ocrl,174.9150319,-0.158936139,0.222106276,-0.71558599,0.474247027,1
215,ENSMUSG00000001175,Calm1,1390.384184,0.125832846,0.169786255,0.741125048,0.458617624,1
216,ENSMUSG00000001211,Agpat3,667.0987019,0.101290582,0.146764135,0.690158953,0.490094233,1
218,ENSMUSG00000001227,Sema6b,195.7612248,-0.298000893,0.695760083,-0.428309844,0.668425553,1
219,ENSMUSG00000001228,Uhrf1,207.7099143,-0.128449852,1.05267728,-0.122022062,0.902881546,1
220,ENSMUSG00000001229,Dpp9,316.2023956,0.121228468,0.144071901,0.841444216,0.400099123,1
221,ENSMUSG00000001240,Ramp2,28.79527641,-0.20797396,0.877328765,-0.23705362,0.812615193,1
222,ENSMUSG00000001247,Lsr,9.100820103,-1.065743178,0.713756689,-1.493146326,0.135398888,1
223,ENSMUSG00000001248,Gramd1a,2452.329902,-0.073384035,0.125815075,-0.583269014,0.559712218,1
224,ENSMUSG00000001249,Hpn,82.51757091,-0.604101161,0.431674287,-1.399437445,0.161681845,1
225,ENSMUSG00000001260,Gabrg1,3.423313738,0.227088103,0.90571791,0.250727187,0.80202504,1
226,ENSMUSG00000001270,Ckb,1346.144356,0.184219647,0.341360444,0.539663136,0.589429367,1
227,ENSMUSG00000001280,Sp1,977.4936786,-0.161809219,0.251224416,-0.644082376,0.519522018,1
228,ENSMUSG00000001281,Itgb7,13.54656382,-0.496853964,0.61262981,-0.811018263,0.417355183,1
229,ENSMUSG00000001285,Myg1,118.4452711,-0.209180719,0.199937667,-1.046229669,0.295455008,1
230,ENSMUSG00000001288,Rarg,51.83578884,-1.783287625,0.815266834,-2.187366823,0.028715756,1
231,ENSMUSG00000001289,Pfdn5,184.8778968,0.222656968,0.277537624,0.80225868,0.422403339,1
233,ENSMUSG00000001305,Rrp15,149.7213866,-0.303502556,0.290982832,-1.043025644,0.296936416,1
234,ENSMUSG00000001313,Rnd2,5.310461566,-0.901999045,0.901192716,-1.000894734,0.316877703,1
235,ENSMUSG00000001323,Srr,64.27690387,-0.589280398,0.52141559,-1.130154927,0.258410948,1
236,ENSMUSG00000001333,Sync,3.543851308,-0.10675705,1.146215947,-0.093138688,0.925793382,1
238,ENSMUSG00000001348,Acp5,6.127861401,0.325717263,1.267093549,0.257058576,0.797133555,1
240,ENSMUSG00000001366,Fbxo9,132.400794,-0.117052754,0.302426929,-0.387044746,0.698723082,1
241,ENSMUSG00000001376,Ccdc132,377.2118002,-0.014861849,0.195337522,-0.076082918,0.93935313,1
242,ENSMUSG00000001380,Hars,225.2853628,-0.347910736,0.177455053,-1.960556942,0.049930729,1
243,ENSMUSG00000001383,Zmat2,484.143544,0.103561876,0.128046196,0.808785259,0.418638677,1
244,ENSMUSG00000001403,Ube2c,6.665026444,-0.29627784,1.710066741,-0.173255133,0.862450889,1
245,ENSMUSG00000001415,Smg5,663.4180493,0.053475943,0.224767211,0.237917011,0.811945461,1
246,ENSMUSG00000001416,Cct3,656.5216855,0.017583189,0.192606255,0.09129085,0.927261488,1
247,ENSMUSG00000001418,Glmp,289.5234804,0.191760311,0.273771294,0.700439803,0.483652686,1
248,ENSMUSG00000001419,Mef2d,1091.372169,-0.032778453,0.178309498,-0.183828977,0.854147623,1
249,ENSMUSG00000001420,Tmem79,5.970990822,-0.013514659,0.863556758,-0.015649995,0.98751362,1
250,ENSMUSG00000001424,Snd1,953.1071308,0.119062938,0.272053302,0.437645628,0.66164319,1
251,ENSMUSG00000001435,Col18a1,14.67198226,0.753567784,1.077170669,0.699580675,0.484189214,1
252,ENSMUSG00000001436,Slc19a1,119.2386415,-0.090797197,0.56491113,-0.160728285,0.872307411,1
