,ensembl_gene_id,external_gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,CreERT2_gene,CreERT2_gene,561.4418609,10.3580147,0.875755394,11.8275203,2.81E-32,5.59E-28
43535,ENSMUSG00000105107,RP23-214I6.4,58.44477149,3.162118544,0.39993983,7.906485698,2.65E-15,2.63E-11
14617,ENSMUSG00000049686,Orai1,191.0429253,-1.281354341,0.21788594,-5.88084912,4.08E-09,2.70E-05
447,ENSMUSG00000002578,Ikzf4,7.562918595,18.46179867,3.309017667,5.579238473,2.42E-08,0.000119947
22925,ENSMUSG00000079364,Gm3558,51.16872871,-3.870266176,0.716400121,-5.402380684,6.58E-08,0.000261221
22696,ENSMUSG00000078864,Gm14322,11.28876199,-5.725226696,1.239140008,-4.620322691,3.83E-06,0.012682694
464,ENSMUSG00000002699,Lcp2,2418.37814,1.671799248,0.37523842,4.455298714,8.38E-06,0.020798555
7748,ENSMUSG00000030268,Bcat1,16.59039369,-5.784280606,1.292304709,-4.475941754,7.61E-06,0.020798555
15591,ENSMUSG00000053702,Nebl,34.22389334,3.208490536,0.743201856,4.317118574,1.58E-05,0.034884577
3051,ENSMUSG00000021338,Lrrc16a,129.1552499,2.131233783,0.498203976,4.277833747,1.89E-05,0.037481854
2165,ENSMUSG00000019823,Mical1,190.7368059,-1.34459509,0.318668658,-4.219414295,2.45E-05,0.044224635
2036,ENSMUSG00000018931,Natd1,117.0756714,1.499790689,0.357653073,4.193423184,2.75E-05,0.045477743
33511,ENSMUSG00000094178,n-R5s118,18.41095597,24.83434833,5.948483761,4.174903947,2.98E-05,0.045544605
8506,ENSMUSG00000031667,Aktip,118.442074,-2.199722193,0.531115373,-4.141703111,3.45E-05,0.048905783
7068,ENSMUSG00000029053,Prkcz,19.3668206,-3.182726069,0.79140102,-4.021635034,5.78E-05,0.071742351
10234,ENSMUSG00000036046,5031439G07Rik,1099.54741,-1.341904128,0.332951428,-4.030329997,5.57E-05,0.071742351
2330,ENSMUSG00000020122,Egfr,19.10675792,-3.151287614,0.795597539,-3.960906688,7.47E-05,0.07858065
5738,ENSMUSG00000026755,Arpc5l,252.1018826,0.541675507,0.136811402,3.959286296,7.52E-05,0.07858065
36528,ENSMUSG00000097750,Gm4673,213.4616823,-0.710791617,0.178418868,-3.983836612,6.78E-05,0.07858065
37876,ENSMUSG00000099227,Mir8114,33.6167368,-1.640024838,0.415616021,-3.946009669,7.95E-05,0.078912129
