,ensembl_gene_id,external_gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1324,ENSMUSG00000010492,Uckl1os,6.572661979,-4.953270007,1.705042451,-2.905071369,0.003671694,0.166848068
773,ENSMUSG00000004892,Bcan,85.50120413,-1.444873324,0.497728557,-2.902934348,0.003696841,0.167477084
3173,ENSMUSG00000021572,Cep72,15.65533759,2.011543346,0.693352882,2.901182644,0.003717571,0.167902746
6485,ENSMUSG00000028076,Cd1d1,36.50699275,-1.332092804,0.459853204,-2.896778343,0.00377016,0.169671257
8700,ENSMUSG00000031980,Agt,16.1822969,-1.754638038,0.606083976,-2.895041128,0.003791089,0.169671257
40531,ENSMUSG00000101972,Hist1h3i,7.255285555,8.00817034,2.765751425,2.895477254,0.003785825,0.169671257
8952,ENSMUSG00000032400,Zwilch,43.92781185,3.483359017,1.205317992,2.889991721,0.00385252,0.170946466
9491,ENSMUSG00000033900,Map9,48.46192909,-3.168338871,1.095766479,-2.891436208,0.003834854,0.170946466
15143,ENSMUSG00000051627,Hist1h1e,260.8774746,1.002063371,0.346752172,2.889854635,0.0038542,0.170946466
44606,ENSMUSG00000106186,RP24-87P2.3,10.38976764,-1.815597977,0.62886878,-2.887085563,0.003888285,0.171943434
844,ENSMUSG00000005410,Mcm5,230.7731629,2.215141082,0.768754234,2.881468466,0.003958268,0.17348458
10136,ENSMUSG00000035726,Supt16,1312.7848,0.43325784,0.150314651,2.882339398,0.003947343,0.17348458
10154,ENSMUSG00000035783,Acta2,27.15767473,-1.934002404,0.670886741,-2.88275544,0.003942134,0.17348458
3447,ENSMUSG00000022034,Esco2,30.23902349,4.990191675,1.735408178,2.87551467,0.004033694,0.174213245
3589,ENSMUSG00000022283,Pabpc1,3776.701544,0.361857971,0.125735265,2.877935395,0.004002871,0.174213245
5906,ENSMUSG00000027018,Hat1,138.0140678,0.973396554,0.338496189,2.875649966,0.004031966,0.174213245
10929,ENSMUSG00000037991,Rmi2,8.0098201,3.744183459,1.300609233,2.878792003,0.003992015,0.174213245
13760,ENSMUSG00000046591,Ticrr,34.40069318,3.471513074,1.207087861,2.875940672,0.004028254,0.174213245
19186,ENSMUSG00000067017,Gm3608,7.617975089,-2.790328883,0.973118027,-2.867410536,0.004138458,0.178218359
17448,ENSMUSG00000062075,Lmnb2,192.5217638,1.168167732,0.407751866,2.864898555,0.004171429,0.178599833
23087,ENSMUSG00000079685,Ulbp1,25.61645893,2.239354282,0.781619728,2.865017607,0.004169861,0.178599833
2901,ENSMUSG00000021068,Nin,1039.842744,0.495732825,0.173320773,2.86020433,0.004233681,0.180537875
3976,ENSMUSG00000022913,Psmg1,45.77429034,-0.673143229,0.235393449,-2.859651497,0.004241068,0.180537875
11582,ENSMUSG00000039533,Mmd2,14.44981978,-2.181396832,0.763130226,-2.85848569,0.004256683,0.18068339
9809,ENSMUSG00000034773,BC030867,7.501984467,4.583681942,1.604195284,2.857309199,0.004272494,0.180836368
16963,ENSMUSG00000059854,Hydin,19.38473523,-2.216528304,0.776276469,-2.855333626,0.004299164,0.181446773
3076,ENSMUSG00000021377,Dek,1153.884882,0.765339893,0.268430365,2.851167349,0.004355904,0.183319199
1851,ENSMUSG00000017756,Slc12a7,461.0712498,0.426094771,0.149580281,2.848602555,0.00439117,0.184279858
10549,ENSMUSG00000036972,Zic4,5.202138464,4.663046262,1.638073209,2.846665361,0.004417978,0.184881136
10245,ENSMUSG00000036086,Zranb3,54.55953723,1.932407845,0.679483704,2.843935525,0.004456006,0.18542494
12575,ENSMUSG00000042390,Gatad2b,882.0487813,0.380919106,0.133915928,2.844464514,0.004448614,0.18542494
16198,ENSMUSG00000056458,Mok,6.197839319,-2.874853445,1.012845652,-2.838392444,0.00453414,0.188147748
184,ENSMUSG00000001053,N4bp3,5.812288924,-2.152862399,0.759630844,-2.83409029,0.004595635,0.189585053
10889,ENSMUSG00000037892,Pcdh18,7.644677765,-5.619197298,1.982066611,-2.835019402,0.00458229,0.189585053
11747,ENSMUSG00000039987,Phtf2,135.3372692,1.142339043,0.403184784,2.833289073,0.00460717,0.189585053
1805,ENSMUSG00000017412,Cacnb4,257.2169354,-6.34536597,2.243805952,-2.82794774,0.004684745,0.192243262
9147,ENSMUSG00000032802,Srxn1,42.66481564,2.134855757,0.756528457,2.821910713,0.004773847,0.195115709
19448,ENSMUSG00000068394,Cep152,428.0402567,0.466192516,0.165233016,2.821424728,0.004781086,0.195115709
10616,ENSMUSG00000037149,Ddx1,419.0492063,0.311157801,0.11045713,2.817000606,0.004847443,0.197280294
11757,ENSMUSG00000040010,Slc7a5,631.4064996,1.139567858,0.404907545,2.814390278,0.004886986,0.198344676
2221,ENSMUSG00000019923,Zwint,251.7860528,0.401201744,0.142852043,2.808512467,0.004977096,0.201360762
6059,ENSMUSG00000027342,Pcna,307.8040071,1.017394866,0.362462097,2.806900018,0.005002076,0.201360762
15243,ENSMUSG00000052125,F730043M19Rik,26.39511628,2.810196972,1.000887116,2.807706212,0.004989572,0.201360762
5936,ENSMUSG00000027115,Kif18a,15.3937541,2.563228871,0.914219145,2.80373572,0.005051429,0.202228012
11782,ENSMUSG00000040084,Bub1b,107.4582018,3.208319095,1.144643676,2.802897672,0.005064574,0.202228012
19687,ENSMUSG00000069793,Slfn9,135.5074051,1.520494561,0.542150842,2.80455999,0.005038531,0.202228012
37876,ENSMUSG00000099227,Mir8114,37.08041846,-1.284586147,0.458582774,-2.8012089,0.005091155,0.202742932
4189,ENSMUSG00000023913,Pla2g7,103.4481702,-1.531809162,0.547683274,-2.796888703,0.00515973,0.204922912
11633,ENSMUSG00000039682,Lap3,439.0570071,0.869566222,0.311037159,2.795698829,0.005178764,0.205128885
5156,ENSMUSG00000025666,Tmem47,26.39889142,-2.223538318,0.797076499,-2.78961721,0.005277039,0.206779202
5751,ENSMUSG00000026779,Mastl,19.5246191,2.820367267,1.011240501,2.789017316,0.005286824,0.206779202
6045,ENSMUSG00000027323,Rad51,30.56643769,4.181070138,1.499231259,2.788809339,0.00529022,0.206779202
16214,ENSMUSG00000056531,Ccdc18,32.24601502,1.992401854,0.713792474,2.791290082,0.00524984,0.206779202
38778,ENSMUSG00000100176,Gm28586,6.393510608,-2.308606558,0.82685632,-2.792028679,0.005237871,0.206779202
4520,ENSMUSG00000024486,Hbegf,17.20421801,-1.428310036,0.512372846,-2.787638038,0.005309383,0.206982102
6688,ENSMUSG00000028438,Kif24,47.97814189,1.945946343,0.699250008,2.782904998,0.005387458,0.2093135
19603,ENSMUSG00000069272,Hist1h2ae,6.55480321,5.616739707,2.018736877,2.782304009,0.005397445,0.2093135
7953,ENSMUSG00000030662,Ipo5,791.5884685,0.419679004,0.151157982,2.776426346,0.005496009,0.212394242
12173,ENSMUSG00000041147,Brca2,173.3889453,1.914547897,0.689712989,2.77586174,0.005505562,0.212394242
4341,ENSMUSG00000024165,Hn1l,175.7607947,0.876579451,0.316133854,2.772811073,0.005557438,0.213284661
11867,ENSMUSG00000040312,Cchcr1,96.27220377,2.429063419,0.875786559,2.773579239,0.005544334,0.213284661
3809,ENSMUSG00000022636,Alcam,23.78321813,-2.31362534,0.834988389,-2.770847322,0.005591064,0.214020714
1493,ENSMUSG00000014418,Hps5,552.7815299,0.645571722,0.233085798,2.769674208,0.005611239,0.214239411
1052,ENSMUSG00000006715,Gmnn,20.20576862,1.917530813,0.693248195,2.766009097,0.005674695,0.215037582
3975,ENSMUSG00000022912,Pros1,1690.882131,0.262710914,0.095001455,2.765335682,0.005686425,0.215037582
9680,ENSMUSG00000034424,Gcsh,57.72394272,1.295026533,0.468335115,2.765170689,0.005689302,0.215037582
17586,ENSMUSG00000062611,Rps3a2,7.66286544,-5.268407794,1.905309766,-2.765118769,0.005690207,0.215037582
8538,ENSMUSG00000031730,Dhodh,93.29186451,-1.109935389,0.401802689,-2.762389155,0.005738004,0.215743131
11751,ENSMUSG00000039994,Timeless,243.0199456,2.557235206,0.925704942,2.762473321,0.005736525,0.215743131
7960,ENSMUSG00000030672,Mylpf,5.075776623,-6.207524657,2.248044667,-2.761299519,0.005757185,0.215916303
3816,ENSMUSG00000022656,Pvrl3,11.17507335,-3.732426804,1.352999197,-2.758631944,0.005804387,0.216373348
8594,ENSMUSG00000031821,Gins2,70.35217559,3.066369483,1.111754024,2.758136617,0.00581319,0.216373348
14950,ENSMUSG00000050936,Hist2h2bb,19.18521038,2.073171913,0.75122328,2.759727992,0.005784951,0.216373348
409,ENSMUSG00000002308,Cd320,15.46169215,-1.580493954,0.573706851,-2.754880738,0.005871353,0.217990545
5443,ENSMUSG00000026238,Ptma,1840.512052,0.581635625,0.211322463,2.752360616,0.005916733,0.218363274
16341,ENSMUSG00000057113,Npm1,970.2182806,0.358617518,0.130317779,2.751869475,0.005925613,0.218363274
22830,ENSMUSG00000079109,Pms2,126.7294475,0.837796279,0.304400226,2.75228534,0.005918093,0.218363274
16384,ENSMUSG00000057265,Ccdc176,10.49833917,-2.83102676,1.032095032,-2.742990395,0.006088247,0.223799716
14036,ENSMUSG00000047547,Cltb,291.6913714,0.375132597,0.136853792,2.741119487,0.006123024,0.22452097
34313,ENSMUSG00000095139,Pou3f2,23.11332578,-1.547310827,0.564863368,-2.739265661,0.006157659,0.225233499
8519,ENSMUSG00000031697,Orc6,31.96050025,1.260374546,0.460500627,2.736965974,0.006200871,0.226255413
