,ensembl_gene_id,external_gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
3890,ENSMUSG00000022781,Pak2,2251.729977,0.966546415,0.099217318,9.741710809,2.00E-22,8.84E-21
7094,ENSMUSG00000029093,Sorcs2,220.4931572,-2.370306643,0.243332397,-9.741023688,2.02E-22,8.88E-21
7333,ENSMUSG00000029470,P2rx4,2069.920896,1.489631438,0.152934142,9.740345867,2.03E-22,8.92E-21
15407,ENSMUSG00000052821,Cysltr1,252.0984766,2.674757565,0.274624544,9.739688678,2.04E-22,8.96E-21
5148,ENSMUSG00000025647,Shisa5,3029.885215,1.133944586,0.116442662,9.738222771,2.07E-22,9.07E-21
15724,ENSMUSG00000054293,A630033H20Rik,309.3312272,2.158177902,0.221846479,9.728249536,2.28E-22,9.98E-21
3816,ENSMUSG00000022656,Pvrl3,274.3315829,-2.151854894,0.221269262,-9.725051176,2.36E-22,1.03E-20
3156,ENSMUSG00000021540,Smad5,535.708843,-1.000309603,0.102893823,-9.721765362,2.44E-22,1.06E-20
16256,ENSMUSG00000056737,Capg,7744.362118,1.373606509,0.141296878,9.721421545,2.44E-22,1.06E-20
8961,ENSMUSG00000032412,Atp1b3,3591.803894,1.227467399,0.126287265,9.719645107,2.49E-22,1.08E-20
560,ENSMUSG00000003283,Hck,2183.837055,2.228015933,0.229312329,9.716075633,2.58E-22,1.11E-20
7931,ENSMUSG00000030616,Sytl2,198.0477665,-2.618971517,0.269642897,-9.712740615,2.66E-22,1.15E-20
4577,ENSMUSG00000024583,Txnl1,1090.465124,0.66520803,0.068561995,9.702285213,2.95E-22,1.27E-20
16250,ENSMUSG00000056708,Ier5,1385.472028,0.76296603,0.07865974,9.699574767,3.03E-22,1.30E-20
6700,ENSMUSG00000028456,Unc13b,95.28324528,-2.206454295,0.227527743,-9.697517621,3.09E-22,1.32E-20
5369,ENSMUSG00000026112,Coa5,2165.777258,1.625975918,0.167735182,9.693708261,3.21E-22,1.37E-20
19826,ENSMUSG00000070354,Gm21975,200.7888938,1.977761195,0.204061565,9.691982861,3.26E-22,1.39E-20
7095,ENSMUSG00000029094,Afap1,291.9629314,-1.945451107,0.200742382,-9.69128235,3.28E-22,1.40E-20
38583,ENSMUSG00000099974,Bcl2a1d,2322.204172,2.263827869,0.233614011,9.690462721,3.31E-22,1.40E-20
168,ENSMUSG00000000982,Ccl3,25981.61169,2.419451135,0.24972164,9.688592221,3.37E-22,1.43E-20
3580,ENSMUSG00000022257,Laptm4b,217.4615356,-1.498915857,0.15472032,-9.687905631,3.39E-22,1.43E-20
17710,ENSMUSG00000063200,Nol7,459.3741587,0.864885439,0.089277126,9.68764872,3.40E-22,1.43E-20
19922,ENSMUSG00000070639,Lrrc8b,384.3451663,-0.994811893,0.102762711,-9.680669998,3.64E-22,1.53E-20
4805,ENSMUSG00000024986,Hhex,275.0189036,1.865897906,0.192786876,9.678552534,3.72E-22,1.56E-20
3455,ENSMUSG00000022048,Dpysl2,961.2429772,0.998905494,0.10333306,9.666852926,4.17E-22,1.74E-20
3602,ENSMUSG00000022306,Zfpm2,68.8514486,-2.720929257,0.281641665,-9.660961418,4.42E-22,1.84E-20
12643,ENSMUSG00000042572,Ube2q1,1223.845116,0.791967501,0.081997028,9.65849036,4.52E-22,1.88E-20
2340,ENSMUSG00000020135,Apc2,331.1199857,-2.402485341,0.248851245,-9.654303073,4.71E-22,1.96E-20
7257,ENSMUSG00000029366,Dck,1081.027527,2.116142622,0.219387268,9.645694772,5.13E-22,2.13E-20
8820,ENSMUSG00000032192,Gnb5,83.76855033,-1.672536027,0.173496769,-9.640156619,5.41E-22,2.24E-20
11581,ENSMUSG00000039531,Zufsp,317.4822267,2.053961786,0.213166083,9.635499965,5.66E-22,2.34E-20
1044,ENSMUSG00000006651,Aplp1,252.9491859,-1.982827896,0.205792296,-9.635092934,5.68E-22,2.34E-20
19545,ENSMUSG00000068923,Syt11,1681.385237,-2.376515548,0.24672835,-9.632113817,5.85E-22,2.40E-20
2343,ENSMUSG00000020142,Slc1a4,350.6930624,-1.598178852,0.166069952,-9.623528098,6.36E-22,2.61E-20
487,ENSMUSG00000002820,Atg4d,254.1663495,1.011063149,0.105069792,9.622776728,6.41E-22,2.62E-20
